Incident ID,Year,Month,Day,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Nationals detained,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Internationals detained,Total internationals,Total killed,Total wounded,Total kidnapped,Total detained,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Motive,Actor type,Actor name,Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+detained+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+detained+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total+detained,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
35,1997,,,,,,,,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,2,0,0,2,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,"1 ICRC international staff wounded and 1 national staff killed, sometime in 1997",Yes,Focal Point
1,1997,1,,KH,Cambodia,Banteay Meanchey,,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Unknown,Unknown,Unknown,1.407.092.855,103.099.916,Unknown,Unknown,Unknown,1 ICRC national staff killed while working in Banteay Meanchey province.,Archived,Archived
2,1997,1,,RW,Rwanda,Northern,Musanze,Ruhengeri,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,4,3,1,0,0,4,3,1,0,Shooting,Raid,Office/compound,-149.984,2.963.497,Unknown,Unknown,Unknown,"3 INGO international (Spanish) staff killed, 1 INGO international (US) staff gravely wounded during armed raid on INGO compound in Ruhengeri, Rwanda.",Archived,Archived
3,1997,2,,TJ,Tajikistan,,,,4,0,2,0,0,0,0,0,4,0,4,0,0,2,0,2,0,0,6,0,6,0,0,6,Kidnapping,Unknown,Unknown,386.281.733,708.156.541,,Unknown,Unknown,"3 UN national staff, 1 UN international (Nigerian) staff, 1 ICRC international staff and 1 ICRC national staff kidnapped along with other (not included) UN staff, journalist and Tajik govt rep; released 48 hours later.",Archived,Archived
4,1997,2,,SO,Somalia,Lower Juba,Kismayo,Kismayo,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,Unknown,Unknown,Unknown,-358.216,42.545.087,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,1 INGO international staff killed by Al ittihad militia in Kismayo.,Archived,Archived
5,1997,2,14,RW,Rwanda,Kigali,Kigali,Kigali,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Shooting,Individual attack,Unknown,-19.508.511,300.615.075,Political,Unknown,Unknown,1 UN national staff shot and killed in Kigali Feb 14.,Archived,Archived
7,1997,5,,CD,DR Congo,,,,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,10,Unknown,Combat/Crossfire,Unknown,-29.814.344,238.222.636,Incidental,Non-state armed group: National,Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL),10 NRCS staff first aid workers killed in fighting between Zairean troops and rebels from the Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL).,Archived,Archived
6,1997,5,7,SL,Sierra Leone,,,,3,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,1,0,2,Unknown,Ambush,Road,86.400.349,-118.400.269,Unknown,Unknown,Unknown,1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.,Archived,Archived
11,1997,6,,SO,Somalia,Gedo,Baardheere,Tulo-Burago,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Kidnap-killing,Ambush,Road,2.25,4.116.667,Incidental,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"1 UN national staff beheaded by Al-Ittihad militia after ambush near Tulo-Burago village in Gedo region. Another 3 UN national staff (not included) bound, questioned and later released. The victim, a senior SNF Commander, was the apparent target of the Al-Ittihad militia.",Yes,Focal Point
12,1997,6,8,RW,Rwanda,Northern,Musanze,Ruhengeri,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,-149.984,2.963.497,Incidental,Unknown,Unknown,1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.,Archived,Archived
8,1997,6,14,RW,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Individual attack,Home,-149.984,2.963.497,Political,Non-state armed group: Unknown,Not applicable,"1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",Archived,Archived
9,1997,6,17,RW,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Shooting,Detention,Unknown,-149.984,2.963.497,Political,Unknown,Unknown,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",Archived,Archived
10,1997,6,19,RW,Rwanda,Northern,Musanze,"Ruhengeri, Kigombe",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Raid,Home,-149.984,2.963.497,Political,Unknown,Unknown,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",Archived,Archived
14,1997,6,19,SO,Somalia,Lower Juba,Kismayo,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Ambush,Road,-36.667,4.253.333,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.,Archived,Archived
13,1997,6,20,SO,Somalia,Bay,Baydhaba,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Shooting,Individual attack,Project site,31.199.508,436.444.625,Incidental,Unknown,Unknown,1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.,Archived,Archived
16,1997,7,,,Chechnya,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Unknown,Individual attack,Home,433.976.147,456.985.005,Unknown,Unknown,Unknown,1 INGO local staffer killed in home attack.,Archived,Archived
17,1997,7,,,Chechnya,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,1,1,0,Kidnapping,Unknown,Unknown,433.976.147,456.985.005,Political,Unknown,Unknown,2 INGO international (British) staff kidnapped. Released 15 months later after ransom paid.,Archived,Archived
18,1997,7,,,Chechnya,Ingushetia,Nazranovsky,Nazran,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,Kidnapping,Unknown,Unknown,43.25,4.583.333,Political,Unknown,Unknown,1 INGO international staff kidnapped in Nazran and held 3.6 months before escaping.,Archived,Archived
19,1997,7,,SO,Somalia,Bakool,Tiyeeglow,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,Kidnapping,Unknown,Unknown,401.897,4.451.112,Economic,Staff member,Security guard,1 donor agency international staff official kidnapped by his security guards at Teyeglow. Escaped two days later.,Archived,Archived
15,1997,7,17,BD,Bangladesh,Narayanganj,Siddhirganj,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Individual attack,Unknown,2.361.352,9.050.298,Unknown,Unknown,Unknown,"1 UN national staff shot and killed in Siddhirganj, July 17.",Archived,Archived
20,1997,8,,SO,Somalia,Lower Juba,Kismayo,,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,Unknown,Individual attack,Unknown,-36.667,4.253.333,Incidental,Non-state armed group: Subnational,Clan,2 INGO national nurses running a health clinic killed in apparent clan-related revenge killing in Kismayo.,Archived,Archived
21,1997,8,,,Chechnya,Dagestan,,,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,4,0,0,Kidnapping,Unknown,Unknown,430.574.916,471.332.224,Political,Unknown,Unknown,4 INGO international staff (French) kidnapped in Dagestan and held 3.5 months. Ransom negotiated by French govt.,Archived,Archived
23,1997,9,,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,Kidnapping,Unknown,Unknown,2.033.333,45.35,Economic,Unknown,Unknown,1 UN national staff kidnapped in Mogadishu over FFW project dispute.,Archived,Archived
24,1997,9,,SS,South Sudan,Central Equatoria,Juba,Juba,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Individual attack,Unknown,4.824.871,31.607.858,Unknown,Unknown,Unknown,1 UN national staff shot and killed in Juba.,Archived,Archived
22,1997,9,24,ET,Ethiopia,Jarar,Daror,Ogaden,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,0,1,Shooting,Individual attack,Unknown,853.056,44.795,Economic,Unknown,Unknown,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,Archived,Archived
25,1997,10,,AO,Angola,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Ambush,Road,-118.775.768,175.691.241,Unknown,Unknown,Unknown,1 UN national staff driver killed in ambush.,Archived,Archived
26,1997,10,,RW,Rwanda,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Ambush,Road,-19.646.631,300.644.358,Political,Unknown,Unknown,1 UN national staff driver killed in ambush.,Archived,Archived
28,1997,10,,AO,Angola,,,,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,0,0,Unknown,Ambush,Unknown,-118.775.768,175.691.241,Unknown,Unknown,Unknown,2 INGO international (German and Zimbabwean) staff killed in ambush.,Archived,Archived
27,1997,10,18,AF,Afghanistan,Balkh,Mazar-e Sharif,Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road),0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Combat/Crossfire,Road,3.670.904,6.711.087,Incidental,Unknown,Unknown,1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.,Archived,Archived
29,1997,10,23,,Chechnya,Grozny,Grozny,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,2,0,0,Kidnapping,Unknown,Unknown,433.278.775,456.762.535,Political,Unknown,Unknown,2 INGO international (Hungarian) staff kidnapped in Grozny on Oct 23 and held for 9 months. Severe abuse (mutilations). Ransom paid by Hungarian govt.,Archived,Archived
31,1997,11,,CG,Congo,,,,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,0,0,3,Unknown,Ambush,Unknown,-1.44,15.556,Unknown,Unknown,Unknown,"1 ICRC national staff killed and 2 wounded in ambush.
",Archived,Archived
30,1997,11,22,SO,Somalia,,,,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,Kidnapping,Unknown,Unknown,83.676.771,49.083.416,Economic,Unknown,Unknown,3 UN national staff (from two agencies) and 1 from another UN body abducted by gunmen on Nov 22 and released the next day. Involved a charcoal trade dispute.,Yes,Focal Point
32,1997,11,26,SO,Somalia,Middle Shabelle,Balcad,Deganlei,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,3,0,3,2,1,0,Kidnapping,Raid,Office/compound,2.270.978,45.334.654,Political,Unaffiliated,Not applicable,"2 INGO international staff (1 male 1 female, Italian) and 1 male national staff were kidnapped after 1-hour armed attack on base in Deganlei on Nov 26. Organized by Mogadishu businessman who had a trade dispute with the then Vice Governor of Balad, Mohamed Abshir.",Archived,Archived
34,1997,12,,TJ,Tajikistan,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,2,1,1,0,Kidnap-killing,Individual attack,Unknown,386.281.733,708.156.541,Unknown,Unknown,Unknown,"2 INGO international staff (of two different organizations) kidnapped. One victim was fatally wounded when her abductors set off a grenade to kill themselves and their hostage. The other victim was rescued, unharmed.",Archived,Media
33,1997,12,17,,Chechnya,,,,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,5,5,0,0,Kidnapping,Unknown,Unknown,433.976.147,456.985.005,Unknown,Unknown,Unknown,5 INGO international (Polish) staff kidnapped by 15 armed men on Dec 17.,Archived,Media
61,1998,,,,,,,,0,0,6,0,0,0,3,2,0,0,5,1,0,0,0,1,4,2,0,0,6,0,0,6,Unknown,Raid,Unknown,,,Unknown,Unknown,Unknown,"1 ICRC international and 3 national staff killed, and 2 nationals wounded, sometime during year.",Archived,Archived
62,1998,,,BI,Burundi,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Unknown,Home,-33.634.357,298.870.575,Economic,Unknown,Unknown,1 INGO national staff killed in armed robbery on a team house. Month unknown.,Archived,Archived
37,1998,1,,LK,Sri Lanka,Northern,Vavuniya,Vavuniya,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Raid,Project site,87.593.439,804.999.646,Economic,Unknown,Unknown,"1 ICRC national staff murdered when working as a night watchman at the ICRC sub-delegation in Vavuniya, when the sub-delegation",Archived,Archived
38,1998,1,,CD,DR Congo,,,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Ambush,Road,-29.814.344,238.222.636,Unknown,Unknown,Unknown,1 ICRC national staff driver killed in ambush.,Archived,Archived
36,1998,1,29,,Chechnya,North Ossetia,,,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,2,2,0,0,Kidnapping,Unknown,Unknown,43,44.25,Political,Unknown,Unknown,1 UN international (French) staff kidnapped and 1 UN national staff driver beaten at gunpoint in N. Ossetia on Jan 29.,Archived,Archived
42,1998,3,,RW,Rwanda,,,,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,Unknown,Raid,Project site,-19.646.631,300.644.358,Political,Unknown,Unknown,3 INGO staff killed in armed assault on camp (presumed here to be national staff).,Archived,Archived
40,1998,3,6,UG,Uganda,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Unknown,Unknown,15.333.554,322.166.578,Unknown,Unknown,Unknown,1 UN national staff killed March 6.,Archived,Archived
39,1998,3,22,SL,Sierra Leone,Eastern,Kailahun,Segbwema,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,79.967.363,-109.495.705,Incidental,Non-state armed group: National,Armed Forces Revolutionary Council (AFRC),"1 ICRC national staff member (and his son) killed during killed in an exchange of fire between ECOMOG and the AFRC/RUF near Segbwema.
",Archived,Archived
44,1998,4,,SD,Sudan,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Aerial bombardment,Unknown,Project site,145.844.444,294.917.691,Incidental,Unknown,Unknown,1 INGO national staff killed in hospital bombing.,Archived,Archived
45,1998,4,,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Unknown,Ambush,Unknown,-33.239.046,293.206.183,Economic,Unknown,Unknown,"1 INGO international staff ambushed and killed by bandits in Bujumbura, April 22.",Archived,Archived
43,1998,4,15,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,7,3,0,0,0,0,1,0,1,0,0,9,0,9,0,0,10,0,10,2,0,8,Kidnapping,Ambush,Road,2.033.333,45.35,Political,Non-state armed group: National,Unknown,"9 internationals and 1 national working for NRCS, IFRC and ICRC were kidnapped as their aircraft landed in Mogadishu (5 ICRC internationals, 2 IFRC delegates, 1 national NRCS worker kidnapped along with 2 pilots (labelled here as ICRC)). The victims were a Somali, an American, a South African.",Archived,Archived
48,1998,6,,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,Unknown,Ambush,Unknown,-33.239.046,293.206.183,Economic,Unknown,Unknown,1 INGO international (Danish) staff killed by car thieves in Bujumbura.,Archived,Archived
46,1998,6,9,SD,Sudan,South Kordofan,,,2,0,0,4,0,0,3,3,0,0,6,0,0,0,0,0,3,3,0,0,6,3,0,3,Shooting,Ambush,Road,11,31,Political,Unknown,Unknown,"2 UN national staff killed along with 1 national NRCS workers, were killed when gunmen fired on a UN vehicle in South Kordofan June 9 (3 other NRCS workers wounded).",Archived,Archived
47,1998,6,25,ET,Ethiopia,Korahe,Bodaley,Between Gode and Degeh Bur,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,6,1,0,5,Kidnapping,Ambush,Road,7,44,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation.",Archived,Archived
50,1998,7,,SO,Somalia,,,,7,0,0,0,0,0,2,5,0,0,7,0,0,0,0,0,2,5,0,0,7,0,0,7,Unknown,Ambush,Road,83.676.771,49.083.416,Unknown,Unknown,Unknown,2 UN national staff killed and 5 wounded when convoy attacked.,Archived,Archived
49,1998,7,8,UG,Uganda,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Unknown,Ambush,Road,15.333.554,322.166.578,Political,Non-state armed group: Subnational,Uganda National Rescue Front,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.,Archived,Archived
53,1998,7,11,BI,Burundi,Bubanza,Gihanga,"Gihanga Commune, RN 9",0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,1,0,Unknown,Raid,Project site,-311.667,29.4,Unknown,Unknown,Unknown,2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.,Archived,Archived
51,1998,7,13,AF,Afghanistan,Nangarhar,Jalalabad,Jalalabad,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,Kidnap-killing,Unknown,Unknown,34.430.247,70.448.678,Unknown,Unknown,Unknown,"2 UN national staff from different agencies kidnapped in or near Jalalabad on July 13 and later found dead.
",Archived,Archived
52,1998,7,24,BI,Burundi,Bujumbura Mairie,Bujumbura,Bujumbura,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Unknown,Individual attack,Unknown,-33.239.046,293.206.183,Unknown,Unknown,Unknown,1 UN international staffer killed in Bujumbura on July 24.,Archived,Archived
54,1998,8,,AF,Afghanistan,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,3.393.911,67.709.953,Incidental,Non-state armed group: National,Taliban,1 UN national staff killed while fleeing advancing Taliban forces. Discovered Nov 27.,Archived,Archived
55,1998,8,,XK,Kosovo,,,,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,Unknown,Individual attack,Road,4.256.231.965,209.060.579,Political,Unknown,Unknown,3 NGO national staff killed while delivering INGO parcels.,Archived,Archived
56,1998,9,,XK,Kosovo,,,,0,0,4,0,0,0,1,2,0,0,3,0,1,0,0,1,1,3,0,0,4,1,0,3,Landmine ,Ambush,Road,4.256.231.965,209.060.579,Incidental,Unknown,Unknown,"1 ICRC male national staff killed and 3 ICRC (1 international New Zealand, 2 nationals) staff wounded when ICRC car hit landmine.",Archived,Archived
57,1998,9,,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,Kidnapping,Unknown,Unknown,2.033.333,45.35,Unknown,Unknown,Unknown,1 INGO international (Italian) staff working at an INGO run hospital kidnapped and held for several days.,Archived,Archived
59,1998,11,,AO,Angola,,,,3,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,3,0,0,3,Unknown,Ambush,Road,-118.775.768,175.691.241,Unknown,Unknown,Unknown,2 UN national staff killed and 1 wounded in convoy ambush.,Archived,Archived
58,1998,11,14,AO,Angola,Bie,Kuito,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Raid,Office/compound,-123.830.189,169.423.833,Unknown,Unknown,Unknown,1 UN national staff shot and killed while guarding warehouse in Kuito on Nov 14.,Archived,Archived
60,1998,12,,AO,Angola,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Unknown,Individual attack,Unknown,-118.775.768,175.691.241,Unknown,Unknown,Unknown,1 INGO national female staff killed.,Archived,Archived
94,1999,,,,,,,,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,2,Unknown,Unknown,Unknown,,,Unknown,Unknown,Unknown,1 ICRC international staff wounded and 1 national wounded sometime during year.,Archived,Archived
64,1999,1,,SO,Somalia,Banadir,Banadir,"Mogadishu, Lenin Road",0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,Unknown,Ambush,Road,211.667,45.4,Political,Unknown,Unknown,"2 INGO national staff killed in ambush in south Mogadishu, Lenin Road. Not clear if the attack aimed at the organization",Archived,Archived
65,1999,1,,SL,Sierra Leone,,,,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Unknown,Individual attack,Home,86.400.349,-118.400.269,Unknown,Unknown,Unknown,1 INGO national staff killed in house attack.,Archived,Archived
66,1999,1,,SO,Somalia,Gedo,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Shooting,Unknown,Unknown,3,42,Economic,Unknown,Unknown,1 NGO international (Kenyan) staff shot dead in Gede region. Incident possibly stemmed from a labour dispute.,Archived,Archived
67,1999,1,,YE,Yemen,,,,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,4,2,2,0,Kidnapping,Raid,Unknown,163.471.243,478.915.271,Unknown,Non-state armed group: Subnational,Armed tribesmen,"4 INGO international (2 British, 2 Dutch) staff kidnapped by armed tribesmen and later released.",Archived,Archived
63,1999,1,2,AO,Angola,,,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Shelling,Unknown,Road,-118.775.768,175.691.241,Unknown,Unknown,Unknown,1 UN national staff killed when MONUA chartered plane shot down Jan 2.,Archived,Archived
68,1999,2,18,SD,Sudan,Unity,Rubkona,Bentiu,0,0,2,4,0,0,4,0,0,0,4,0,0,2,0,2,4,0,2,0,6,0,0,6,Kidnap-killing,Unknown,Unknown,9.26,29.8,Political,Unknown,Unknown,"2 ICRC international (Swiss) staff and 4 national NRCS workers kidnapped. Swiss released in March, Sudanese killed April.",Archived,Archived
69,1999,3,,SO,Somalia,Lower Juba,Badhaadhe,Ras Kambooni,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Body-borne IED,Individual attack,Project site,-103.471,4.149.756,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"1 INGO international staff killed in Ras Kambooni, lower Juba, while meeting with elders. Suspected to be carried out by Al-Ittihad militia.",Archived,Archived
70,1999,4,,AF,Afghanistan,,,,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Aerial bombardment,Unknown,Unknown,3.393.911,67.709.953,Incidental,State: unknown,Not applicable,1 ICRC national staff killed in air raid.,Archived,Archived
71,1999,4,,SO,Somalia,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,Kidnapping,Unknown,Unknown,83.676.771,49.083.416,Economic,Unknown,Unknown,1 INGO international (Italian) staff kidnapped for ransom and released with ransom unpaid.,Archived,Archived
73,1999,4,,ET,Ethiopia,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,Kidnapping,Unknown,Unknown,9.145,40.489.673,Unknown,Unknown,Unknown,1 INGO international (French) staff kidnapped and later released,Archived,Archived
72,1999,4,14,AO,Angola,,,,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5,0,0,5,Unknown,Ambush,Road,-118.775.768,175.691.241,Unknown,Unknown,Unknown,5 INGO and NGOs national staff killed in ambush April 14.,Archived,Archived
74,1999,5,,SD,Sudan,,,,3,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,0,0,3,3,0,0,Unknown,Raid,Road,145.844.444,294.917.691,Unknown,Unknown,Unknown,1 UN national staff killed and 2 wounded when relief barge on Nile in Sudan was attacked.,Archived,Archived
75,1999,5,15,,Chechnya,Kabardino-Balkaria,,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,Kidnapping,Unknown,Unknown,434.428.286,434.204.809,Unknown,Unknown,Unknown,1 ICRC international staff kidnapped in Kabardino-Balkaria May 15. Released July 19.,Archived,Archived
76,1999,6,,BI,Burundi,Baki,,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,Shooting,Unknown,Unknown,-33.634.357,298.870.575,Political,Non-state armed group: National,Interahamwe,1 UN national staff injured when vehicle shot at by the suspected militant Hutu group Interahamwe.,Archived,Archived
77,1999,6,,SO,Somalia,Awdal,Baki,,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,Kidnapping,Unknown,Unknown,102.950.001,4.356.610.996,Unknown,Non-state armed group: Subnational,Militia,"2 UN national staff kidnapped by militia in Baki, released after intervention by UN and authorities.",Archived,Archived
78,1999,6,,AO,Angola,Bengo,Icolo e Bengo,Barraca,0,4,0,0,0,0,2,2,0,0,4,0,0,0,0,0,2,2,0,0,4,1,0,3,Unknown,Raid,Project site,-91.842.148,139.624.111,Political,Non-state armed group: National,National Union for the Total Independence of Angola,"2 INGO national staff killed and 2 wounded when ambushed by armed men wearing UNITA uniforms during polio eradication campaign in Barraca, Bengo Province.",Archived,Archived
79,1999,6,,AO,Angola,Uige,,,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,Unknown,Ambush,Road,-76.117.323,150.563.515,Unknown,Unknown,Unknown,2 INGO national staff killed when 80-truck convoy was ambushed in the north Angolan province of Uije including some aid vehicles June 16. Approximately 60 dead or missing including 54 civilians.,Archived,Archived
